source,target,name,status,verified,dedupe_by,match_score,reason
/augenarzt/fritzlar/drmed-jrg-bgeholz-fritzlar,https://navoria.de/praxis/fritzlar/dr-med-joerg-boegeholz-Px37n8,Dr.med. Jörg Bögeholz,PLACES_IMPORTED_NEW,yes,,0.98,
/augenarzt/montabaur/dr-med-christhoper-hagelauer-montabaur,https://navoria.de/praxis/montabaur/dr-hagelauer-augenarzt-montabaur-38hS8I,Dr. Hagelauer - Augenarzt Montabaur,PLACES_IMPORTED_NEW,yes,,0.98,
/augenarzt/neutraubling/drmed-bernhard-roesen-neutraubling,https://navoria.de/praxis/neutraubling/drmed-bernhard-roesen-tmMPvY,Dr.med. Bernhard Roesen,MATCHED_PHASE2,yes,,,street+plz+name
/augenarzt/schneeberg/herr-dr-med-thomas-windisch-schneeberg,https://navoria.de/praxis/schneeberg/herr-dr-med-thomas-windisch-jh7Cqg,Herr Dr. med. Thomas Windisch,PLACES_IMPORTED_NEW,yes,,0.98,
/augenarzt/versmold/dr-nicola-buch-pleitner-versmold,https://navoria.de/praxis/versmold/dr-nicola-buch-pleitner-Vi4TDw,Dr. Nicola Buch-Pleitner,PLACES_IMPORTED_NEW,yes,,0.98,
/augenarzt/weisswasseroberlausitz/dr-med-birgit-mder-weiwasseroberlausitz,https://navoria.de/praxis/weisswasser-oberlausitz/dr-med-birgit-maeder-g8I2kk,Dr. med. Birgit Mäder,PLACES_IMPORTED_NEW,yes,,0.98,
/frauenarzt/landau/frauenarztpraxis-natalya-klassen-landau,https://navoria.de/praxis/landau-an-der-isar/frauenarztpraxis-natalya-klassen-v_zQC8,Frauenarztpraxis Natalya Klassen,PLACES_IMPORTED_NEW,yes,,0.98,
/frauenarzt/muenster/drmed-jens-quakernack-facharzt-fr-frauenheilkunde-geburtshilfe-mnster,https://navoria.de/praxis/muenster/drmed-jens-quakernack-facharzt-fuer-frauenheilkunde-geburtshilfe-y5UVVU,Dr.med. Jens Quakernack Facharzt für Frauenheilkunde Geburtshilfe,MATCHED_PHASE2,yes,,,street+plz+name
/frauenarzt/oberndorf/ildiko-husar-fachrztin-fr-frauenheilkunde-und-geburtshilfe-oberndorf,https://navoria.de/praxis/oberndorf-am-neckar/ildiko-husar-fachaerztin-fuer-frauenheilkunde-und-geburtshilfe-Ndm_KY,Ildiko Husar Fachärztin für Frauenheilkunde und Geburtshilfe,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/ahaus/dr-barbara-tielkes-ahaus,https://navoria.de/praxis/ahaus/dr-barbara-tielkes-4DQfWc,Dr. Barbara Tielkes,PLACES_IMPORTED_NEW,yes,,0.98,
